instanceId,modelShort,modelLong,strategy,heuristicsInfo,timeLimitSec,runtimeSec,gurobiRuntimeSec,status,bestObj,bestBound,upperBound,mipGapPercent,nodesExplored,lpRootObj,numVars,numConstr,numBinVars,numIntVars,timeFirstIncumbentSec
"j301_9","DT-300","Discrete Time Model","VS","with heuristics",300.0,0.15720796585083008,0.16,"OPTIMAL",49.0,49.0,49.0,0.0,1,43.2,4010,721,4010,4010,0.002427816390991211
"j301_9","OOE-300","On-Off Event Based Model","VS","with heuristics",300.0,300.0062289237976,300.01,"TIME_LIMIT",49.0,38.0,49.0,22.449,14989,1.590308,931,18930,900,900,0.009605884552001953
"j301_9","IEE-300","Interval Event Based Model","VS","with heuristics",300.0,300.1857328414917,300.18,"TIME_LIMIT",49.0,10.0,49.0,79.5918,1,,13981,15390,13950,13950,0.013064861297607422
"j301_9","SEQ-300","Sequencing Model","VS","with heuristics",300.0,0.06213998794555664,0.06,"OPTIMAL",49.0,49.0,49.0,0.0,1,46.0,1592,3768,1560,1560,0.0018939971923828125
"j301_9","FCT-300","Flow-Based Continuous Time Model","STD","without heuristics",300.0,10.10708999633789,10.11,"OPTIMAL",49.0,49.0,49.0,0.0,2282,42.0,4992,40257,992,992,3.960590124130249
"j301_9","DT-300","Discrete Time Model","STD","without heuristics",300.0,1.2603979110717773,1.26,"OPTIMAL",49.0,49.0,49.0,0.0,404,42.18089,4010,721,4010,4010,0.8026828765869141
"j301_9","OOE-300","On-Off Event Based Model","STD","without heuristics",300.0,300.0061161518097,300.01,"TIME_LIMIT",50.0,37.0,50.0,26.0,18737,1.590308,931,18930,900,900,3.910863161087036
"j301_9","IEE-300","Interval Event Based Model","STD","without heuristics",300.0,300.37703585624695,300.38,"TIME_LIMIT",1.0E100,10.0,1.0E100,,1,,13981,15390,13950,13950,
"j301_9","SEQ-300","Sequencing Model","STD","without heuristics",300.0,0.260606050491333,0.26,"OPTIMAL",48.999999995,48.999999995,48.999999994999236,0.0,1,42.0,1592,3768,1560,1560,0.07654500007629395
"j301_10","FCT-300","Flow-Based Continuous Time Model","VS","with heuristics",300.0,1.4491801261901855,1.45,"OPTIMAL",45.0,45.0,45.0,0.0,36,40.0,4992,40257,992,992,0.012317180633544922
"j301_10","DT-300","Discrete Time Model","VS","with heuristics",300.0,0.1286451816558838,0.13,"OPTIMAL",45.0,45.0,45.0,0.0,0,,3766,677,3766,3766,0.0023441314697265625
"j301_10","OOE-300","On-Off Event Based Model","VS","with heuristics",300.0,300.0862500667572,300.08,"TIME_LIMIT",45.0,35.0,45.0,22.2222,15021,1.363793,931,18930,900,900,0.009538888931274414
"j301_10","IEE-300","Interval Event Based Model","VS","with heuristics",300.0,300.10072088241577,300.1,"TIME_LIMIT",45.0,10.0,45.0,77.7778,1,,13981,15390,13950,13950,0.01306009292602539
"j301_10","SEQ-300","Sequencing Model","VS","with heuristics",300.0,0.11772704124450684,0.12,"OPTIMAL",45.0,45.0,45.0,0.0,1,41.0,1604,3793,1572,1572,0.001850128173828125
"j301_10","FCT-300","Flow-Based Continuous Time Model","STD","without heuristics",300.0,2.939790964126587,2.94,"OPTIMAL",45.0,45.0,45.0,0.0,234,37.0,4992,40257,992,992,1.5790529251098633
"j301_10","DT-300","Discrete Time Model","STD","without heuristics",300.0,0.5938780307769775,0.59,"OPTIMAL",45.0,45.0,45.0,0.0,1,40.03953,3766,677,3766,3766,0.5765058994293213
"j301_10","OOE-300","On-Off Event Based Model","STD","without heuristics",300.0,300.0062961578369,300.01,"TIME_LIMIT",46.0,35.0,46.0,23.913,12073,1.363793,931,18930,900,900,25.23427700996399
"j301_10","IEE-300","Interval Event Based Model","STD","without heuristics",300.0,300.61379289627075,300.61,"TIME_LIMIT",1.0E100,10.0,1.0E100,,1,,13981,15390,13950,13950,
"j301_10","SEQ-300","Sequencing Model","STD","without heuristics",300.0,0.8917739391326904,0.89,"OPTIMAL",45.0,45.0,45.0,0.0,1,40.0,1604,3793,1572,1572,0.1374199390411377
"j302_1","FCT-300","Flow-Based Continuous Time Model","VS","with heuristics",300.0,0.22357797622680664,0.22,"OPTIMAL",38.0,38.0,38.0,0.0,0,,4992,40257,992,992,0.012576103210449219
"j302_1","DT-300","Discrete Time Model","VS","with heuristics",300.0,0.08537411689758301,0.09,"OPTIMAL",38.0,38.0,38.0,0.0,0,,3896,677,3896,3896,0.002360105514526367
"j302_1","OOE-300","On-Off Event Based Model","VS","with heuristics",300.0,300.0037591457367,300.0,"TIME_LIMIT",38.0,33.00000024464,38.0,13.1579,21353,1.28343,931,18930,900,900,0.00952005386352539
"j302_1","IEE-300","Interval Event Based Model","VS","with heuristics",300.0,300.53437900543213,300.53,"TIME_LIMIT",38.0,10.0,38.0,73.6842,1,,13981,15390,13950,13950,0.013128995895385742
"j302_1","SEQ-300","Sequencing Model","VS","with heuristics",300.0,0.06030011177062988,0.06,"OPTIMAL",38.0,38.0,38.0,0.0,0,,1632,3893,1600,1600,0.0019030570983886719
"j302_1","FCT-300","Flow-Based Continuous Time Model","STD","without heuristics",300.0,1.2911548614501953,1.29,"OPTIMAL",38.0,38.0,38.0,0.0,1,34.0,4992,40257,992,992,0.7313680648803711
"j302_1","DT-300","Discrete Time Model","STD","without heuristics",300.0,0.3365809917449951,0.34,"OPTIMAL",38.0,38.0,38.0,0.0,1,34.87234,3896,677,3896,3896,0.12485098838806152
"j302_1","OOE-300","On-Off Event Based Model","STD","without heuristics",300.0,300.0023629665375,300.0,"TIME_LIMIT",38.0,33.0,38.0,13.1579,18680,1.28343,931,18930,900,900,2.921954870223999
"j302_1","IEE-300","Interval Event Based Model","STD","without heuristics",300.0,300.45570516586304,300.45,"TIME_LIMIT",50.0,10.0,50.0,80.0,1,,13981,15390,13950,13950,5.301608085632324
"j302_1","SEQ-300","Sequencing Model","STD","without heuristics",300.0,0.17083096504211426,0.17,"OPTIMAL",38.0,38.0,38.0,0.0,1,34.0,1632,3893,1600,1600,0.06479692459106445
"j302_2","FCT-300","Flow-Based Continuous Time Model","VS","with heuristics",300.0,0.6980829238891602,0.7,"OPTIMAL",51.0,51.0,51.0,0.0,1,48.0,4992,40257,992,992,0.012521982192993164
"j302_2","DT-300","Discrete Time Model","VS","with heuristics",300.0,0.15980815887451172,0.16,"OPTIMAL",51.0,51.0,51.0,0.0,0,,4687,805,4687,4687,0.0028319358825683594
"j302_2","OOE-300","On-Off Event Based Model","VS","with heuristics",300.0,300.0126299858093,300.01,"TIME_LIMIT",51.0,46.0,51.0,9.8039,18785,1.359301,931,18930,900,900,0.009781837463378906
