instanceId,modelKey,modelFamily,modelLongName,strategy,timeLimitSec,heuristicBuildTimeNs,objectiveValue,lowerBound,upperBound,gapPercent,solveTimeSec,nodesExplored,simplexIterations,workUnits,timeLimitReached,solvedOptimal,logFileName
j1201_5,SEQ-600,SEQ,Sequencing Model,STD,600,11586476,131.0,99.0,131.0,24.4275,600.0097489356995,9126,1435911,842.5,true,false,output_4.2.txt
j1201_6,FCT-600,FCT,Flow-Based Continuous Time Model,VS,600,38457078448,86.0,65.0,86.0,24.4186,600.0782740116119,1,58785,631.64,true,false,output_4.2.txt
j1201_6,FCT-600,FCT,Flow-Based Continuous Time Model,VH,600,38154591710,87.0,65.0,87.0,25.2874,600.1839349269867,1,72964,574.2,true,false,output_4.2.txt
j1201_6,DT-600,DT,Discrete Time Model,VS,600,38297093074,84.0,84.0,84.0,0.0,29.40350604057312,1850,269453,48.79,false,true,output_4.2.txt
j1201_6,DT-600,DT,Discrete Time Model,VH,600,37758166982,84.0,84.0,84.0,0.0,42.75348711013794,4155,519522,75.56,false,true,output_4.2.txt
j1201_6,OOE-600,OOE,On-Off Event Based Model,VS,600,37670203368,86.0,1.0,86.0,98.8372,600.2303640842438,1,34262,445.6,true,false,output_4.2.txt
j1201_6,OOE-600,OOE,On-Off Event Based Model,VH,600,38312870151,1.0E100,1.0,1.0E100,100.0,600.2201051712036,1,30280,454.35,true,false,output_4.2.txt
j1201_6,SEQ-600,SEQ,Sequencing Model,VS,600,37978802222,84.99999999139999,82.0,84.99999999139999,3.5294,600.0090489387512,9437,1795158,795.68,true,false,output_4.2.txt
j1201_6,SEQ-600,SEQ,Sequencing Model,VH,600,37360215740,85.99999999128727,82.00000000000001,85.99999999128727,4.6512,600.0078611373901,8022,1756380,832.54,true,false,output_4.2.txt
j1201_6,FCT-600,FCT,Flow-Based Continuous Time Model,STD,600,32114316,1.0E100,65.0,1.0E100,100.0,600.017814874649,1,73989,596.37,true,false,output_4.2.txt
j1201_6,DT-600,DT,Discrete Time Model,STD,600,28157562,84.0,84.0,84.0,0.0,413.273099899292,4765,1111537,812.86,false,true,output_4.2.txt
